935653,935646,935653,94,T
498810,498820,498808,50,T
51617,51611,51608,6,F
630258,630276,630248,64,T
654283,654285,654280,66,F
808123,808118,808115,81,F
991290,991317,991204,100,F
540408,540397,540400,55,T
40107,40124,40107,5,T
411664,411655,411657,42,T
510486,510493,510499,52,F
570455,570515,570457,58,T
610373,610409,610379,62,T
656621,656626,656623,66,T
272934,272945,272930,28,T
571751,571809,571753,58,T
569337,569395,569341,57,T
347150,347128,347140,35,T
448332,448310,448320,45,T
376588,376580,376589,38,T
407446,407419,407435,41,T
934077,934076,934084,94,F
785357,785382,785362,79,T
31896,31901,31903,4,F
519355,519360,519345,52,F
263335,263365,263347,27,T
925012,925013,925008,93,F
647276,647295,647272,65,T
562584,562622,562593,57,T
596456,596483,596456,60,T
764949,764961,764951,77,T
241818,241835,241823,25,T
624826,624847,624827,63,T
799036,799038,799035,80,T
980736,980774,980731,99,T
822422,822432,822420,83,T
334538,334527,334538,34,T
12161,12156,12160,2,T
677575,677560,677569,68,T
866311,866301,866326,87,F
963206,963209,963191,97,F
696376,696348,696382,70,T
803179,803182,803183,81,F
45975,45992,45989,5,T
814970,814975,814984,82,F
117939,117956,117931,12,T
63971,64002,63987,7,T
946222,946225,946234,95,F
271363,271375,271359,28,T
286800,286811,286807,29,T
378684,378664,378676,38,T
470804,470799,470791,48,F
454704,454690,454700,46,T
364239,364226,364233,37,T
430114,430075,430104,44,T
331519,331514,331518,34,T
42509,42527,42519,5,T
356063,356054,356068,36,T
585677,585701,585672,59,T
948522,948522,948528,95,F
37217,37228,37220,4,T
71472,71501,71487,8,T
632868,632902,632874,64,T
557928,557957,557923,56,T
702485,702456,702483,71,T
569297,569349,569295,57,T
214641,214654,214645,22,T
720771,720751,720771,73,T
577200,577243,577196,58,T
666637,666638,666640,67,F
555749,555773,555741,56,T
14310,14291,14299,2,T
834099,834126,834109,84,T
993077,993109,993137,100,F
39097,39118,39106,4,T
588830,588868,588839,59,T
947078,947073,947081,95,T
469758,469771,469769,47,T
115372,115383,115369,12,T
320721,320719,320716,33,F
263909,263933,263915,27,T
718562,718552,718577,72,F
357076,357067,357081,36,T
378696,378671,378683,38,T
963785,963804,963785,97,T
596021,596043,596017,60,T
624936,624958,624938,63,T
731089,731057,731079,74,T
772899,772912,772900,78,T
59838,59827,59839,6,T
735486,735467,735484,74,T
7186,7173,7188,1,T
339639,339623,339642,34,T
593453,593474,593449,60,T
837897,837924,837912,84,T
784216,784249,784229,79,T
159182,159179,159176,16,F
229577,229587,229579,23,T
672511,672513,672512,68,T
693764,693726,693760,70,T
996920,996926,996892,100,F
439299,439285,439304,44,T
885154,885133,885130,89,F
886013,886009,886001,89,F
680864,680848,680866,69,T
141602,141601,141606,15,F
127603,127624,127601,13,T
747803,747789,747790,75,T
598286,598323,598294,60,T
778563,778597,778575,78,T
992077,992129,992079,100,T
357266,357247,357262,36,T
970109,970135,970120,98,T
414935,414917,414923,42,T
829960,829987,829961,83,T
797393,797406,797404,80,T
778204,778224,778203,78,T
788952,788966,788945,79,T
753479,753480,753481,76,F
614796,614831,614805,62,T
29952,29951,29945,3,F
934766,934758,934766,94,T
187034,187021,187032,19,T
444329,444317,444332,45,T
651929,651934,651927,66,T
790381,790405,790396,80,T
24627,24625,24636,3,F
427618,427592,427626,43,T
118894,118912,118882,12,T
368862,368857,368870,37,F
270770,270773,270757,28,F
762779,762781,762774,77,F
803228,803233,803234,81,F
194164,194145,194159,20,T
754751,754757,754759,76,F
385137,385102,385121,39,T
675751,675748,675754,68,F
608295,608338,608298,61,T
760939,760934,760928,77,F
308266,308250,308262,31,T
271143,271154,271139,28,T
365259,365241,365249,37,T
563771,563807,563774,57,T
95006,95004,95007,10,T
218818,218819,218802,22,F
519584,519584,519568,52,F
90293,90296,90301,10,F
566497,566550,566508,57,T
73700,73702,73689,8,F
966625,966658,966634,97,T
987410,987450,987395,99,T
264453,264484,264465,27,T
600999,601030,600985,61,T
16762,16752,16761,2,T
279569,279585,279574,28,T
767578,767590,767576,77,T
834433,834461,834445,84,T
353054,353040,353053,36,T
90584,90582,90587,10,F
863145,863125,863148,87,T
184160,184160,184168,19,F
866697,866663,866689,87,T
338952,338945,338963,34,F
42767,42772,42764,5,T
859592,859592,859593,86,F
583276,583323,583291,59,T
784365,784381,784360,79,T
309344,309347,309357,31,F
632251,632284,632256,64,T
37685,37713,37704,4,T
547353,547375,547357,55,T
199985,199958,199967,20,T
190528,190504,190519,20,T
296087,296090,296090,30,F
215549,215559,215550,22,T
626393,626415,626393,63,T
652680,652701,652694,66,T
753683,753669,753671,76,T
477781,477784,477776,48,F
347644,347629,347641,35,T
347275,347273,347285,35,F
18379,18369,18376,2,T
938928,938915,938918,94,T
954602,954618,954599,96,T
972987,973001,972986,98,T
791666,791665,791658,80,F
419125,419103,419113,42,T
521412,521422,521409,53,T
573539,573599,573547,58,T
786132,786161,786141,79,T
20978,20984,20984,3,F
615870,615901,615876,62,T
700662,700619,700644,71,T
890250,890216,890245,90,T
913737,913722,913731,92,T
179699,179693,179705,18,F
789970,789977,789955,79,F
933810,933802,933810,94,T
954838,954848,954829,96,T
206027,206006,206018,21,T
111651,111665,111662,12,T
971195,971212,971197,98,T
34780,34801,34797,4,T
809698,809686,809681,81,F
744955,744933,744939,75,T
928034,928037,928030,93,F
29943,29946,29940,3,F
274884,274896,274883,28,T
163417,163423,163416,17,T
567945,568002,567954,57,T
468063,468061,468060,47,F
412237,412222,412225,42,T
178636,178629,178640,18,T
867518,867493,867518,87,T
420358,420332,420356,43,T
