794769,794758,794751,7,F
616699,616928,616684,5,T
861489,861470,861524,7,F
927647,927494,927674,8,T
136981,137089,137031,2,T
295126,294808,295065,3,T
267839,267618,267882,3,T
938351,938123,938292,8,T
892070,891918,891902,8,F
396361,396238,396254,4,T
46131,46219,46109,1,T
704362,704464,704404,6,T
292496,292137,292396,3,T
200498,200552,200547,2,T
333802,333743,333929,3,F
108662,108648,108644,1,F
536001,535964,535935,5,F
402671,402544,402607,4,T
761734,761719,761785,6,F
195754,195835,195816,2,T
370658,370613,370693,3,T
748617,748540,748588,6,T
543518,543510,543475,5,F
792729,792709,792699,7,F
66109,66186,66093,1,T
938624,938402,938570,8,T
205197,205223,205231,2,F
457036,457169,457030,4,T
918868,918826,918990,8,F
167019,167055,166974,2,F
347261,347061,347210,3,T
861822,861811,861865,7,F
962521,962521,962522,8,F
531928,531855,531830,5,F
662993,663245,663066,6,T
922510,922376,922549,8,T
990471,990474,990494,8,F
945258,945072,945214,8,T
624653,624930,624631,5,T
663675,663935,663757,6,T
959149,959116,959153,8,T
730359,730282,730292,6,T
877296,877235,877275,7,T
628661,628947,628617,5,T
387934,387871,387984,4,T
753309,753201,753256,6,T
983714,983646,983670,8,T
986356,986329,986353,8,T
298783,298474,298727,3,T
332316,332200,332390,3,T
437397,437492,437372,4,T
968928,968959,968945,8,T
309847,309634,309872,3,T
724885,724900,724896,6,T
818044,817950,817983,7,T
150044,150105,150004,2,T
245075,244995,245065,2,T
645200,645383,645162,6,T
961598,961555,961566,8,T
202459,202474,202475,2,F
189900,189972,189936,2,T
191150,191220,191188,2,T
619983,620244,619979,5,T
384145,384074,384236,4,F
60399,60508,60396,1,T
953349,953306,953395,8,F
845857,845798,845854,7,T
909306,909281,909403,8,F
238921,238850,238921,2,T
856203,856109,856165,7,T
16672,16648,16632,1,F
351261,351095,351233,3,T
864218,864221,864274,7,F
815766,815668,815697,7,T
466021,466165,466033,4,T
910997,910968,911100,8,F
710832,710857,710815,6,T
449451,449583,449445,4,T
317523,317343,317567,3,T
783142,783114,783084,7,F
319553,319391,319610,3,T
701565,701697,701628,6,T
523675,523679,523662,5,F
498546,498550,498509,4,F
466209,466344,466212,4,T
385861,385814,385953,4,F
395347,395238,395264,4,T
94178,94232,94193,1,T
502098,502095,502068,4,F
341029,340890,341057,3,T
995500,995560,995567,8,F
884317,884282,884311,7,T
642317,642555,642327,6,T
153007,153110,153002,2,T
6447,6354,6413,1,T
965444,965494,965462,8,T
684684,684766,684648,6,T
845188,845110,845166,7,T
77977,78059,77989,1,T
522346,522337,522322,5,F
292588,292223,292482,3,T
819941,819864,819899,7,T
473572,473734,473615,4,T
679724,679782,679648,6,F
428164,428323,428231,4,T
26964,27072,27005,1,T
321170,321001,321217,3,T
271099,270898,271163,3,T
813508,813437,813463,7,T
823412,823343,823382,7,T
877239,877180,877220,7,T
238695,238610,238682,2,T
610481,610647,610439,5,T
724606,724621,724617,6,T
857217,857143,857199,7,T
85584,85609,85555,1,F
356972,356868,356988,3,T
246050,245978,246047,2,T
86534,86585,86532,1,T
29780,29900,29822,1,T
161485,161482,161398,2,F
108227,108207,108203,1,F
509226,509296,509298,5,F
96822,96871,96837,1,T
949460,949340,949457,8,T
846414,846361,846417,7,T
215795,215746,215783,2,T
425039,425220,425140,4,T
334686,334617,334801,3,F
574889,575048,574969,5,T
82421,82483,82423,1,T
139781,139861,139792,2,T
861354,861340,861394,7,F
139227,139322,139254,2,T
158854,158869,158784,2,F
237885,237807,237878,2,T
983440,983383,983407,8,T
68310,68357,68268,1,T
353661,353525,353655,3,T
634634,634925,634543,5,T
250893,250832,250893,2,T
920877,920793,920963,8,F
481286,481430,481330,4,T
172620,172642,172568,2,F
438967,439102,438979,4,T
163652,163738,163655,2,T
672832,672926,672773,6,T
21648,21721,21677,1,T
898112,898065,898106,8,T
717065,717135,717110,6,T
494120,494192,494134,4,T
671290,671370,671212,6,T
766195,766252,766183,7,T
751086,751037,751089,6,T
370942,370894,370972,3,T
87213,87252,87201,1,T
574926,575082,575003,5,T
829481,829448,829494,7,T
110518,110481,110480,1,F
168916,168931,168852,2,F
952917,952855,952947,8,T
8134,8044,8089,1,T
354582,354451,354579,3,T
466784,466907,466776,4,T
137538,137645,137584,2,T
549866,549807,549765,5,F
788947,788992,788974,7,T
231828,231785,231852,2,T
55303,55378,55265,1,T
82306,82378,82317,1,T
481215,481365,481265,4,T
409904,409835,409841,4,T
179091,179156,179093,2,T
763683,763659,763584,7,F
660003,660206,660018,6,T
923498,923385,923561,8,T
995598,995654,995661,8,F
80329,80389,80324,1,T
506653,506687,506681,4,T
626456,626726,626413,5,T
205721,205745,205755,2,F
271862,271646,271912,3,T
421694,421828,421765,4,T
318974,318796,319017,3,T
297553,297242,297496,3,T
256156,256021,256279,3,T
261809,261605,261866,3,T
941652,941431,941589,8,T
974308,974299,974306,8,T
870144,870090,870138,7,T
875118,875052,875095,7,T
380040,379981,380035,3,T
22522,22616,22568,1,T
148577,148621,148523,2,F
964823,964845,964820,8,T
615473,615651,615415,5,T
186071,186194,186148,2,T
461934,462075,461939,4,T
395049,394942,394971,4,T
102938,102981,102970,1,T
498246,498259,498216,4,F
623523,623812,623521,5,T
606156,606312,606127,5,T
294731,294417,294674,3,T
732109,732022,732035,6,T
19907,19926,19891,1,T
364574,364493,364590,3,T
581501,581629,581535,5,T
304924,304672,304917,3,T
439953,440067,439942,4,T
949211,949086,949205,8,T
383678,383619,383787,4,F
940904,940658,940819,8,T
236991,236915,236986,2,T
533188,533083,533057,5,F
155491,155552,155440,2,T
245215,245135,245204,2,T
400770,400637,400715,4,T
830691,830673,830720,7,F
729511,729458,729465,6,T
376432,376328,376391,3,T
584042,584164,584063,5,T
401596,401481,401552,4,T
185737,185848,185802,2,T
424905,425079,425000,4,T
308576,308315,308555,3,T
328220,328131,328331,3,F
228537,228470,228533,2,T
736142,736017,736040,6,T
148262,148309,148212,2,F
779037,779070,779030,7,T
342123,341940,342104,3,T
699106,699243,699167,6,T
188086,188167,188126,2,T
803978,803929,803940,7,T
145832,145889,145798,2,T
595478,595665,595527,5,T
219019,218990,219035,2,T
941681,941456,941613,8,T
848823,848740,848796,7,T
757345,757264,757325,6,T
334455,334391,334575,3,F
960877,960832,960852,8,T
532745,532646,532620,5,F
9656,9588,9621,1,T
580034,580178,580087,5,T
354427,354287,354415,3,T
365477,365399,365494,3,T
513448,513537,513533,5,T
317026,316858,317083,3,T
