55124,55184,55080,1,T
989539,989545,989525,8,F
670865,670961,670812,6,T
928355,928198,928346,8,T
355922,355813,355906,3,T
685495,685583,685477,6,T
617219,617461,617209,5,T
931774,931619,931767,8,T
931488,931334,931481,8,T
593648,593814,593679,5,T
113316,113270,113280,1,T
322305,322158,322346,3,T
325880,325793,325973,3,F
405436,405346,405383,4,T
261070,260884,261130,3,T
526301,526269,526249,5,F
290483,290118,290355,3,T
790199,790208,790190,7,F
397574,397467,397466,4,F
224627,224632,224681,2,F
581916,582046,581948,5,T
4915,4814,4890,1,T
366719,366631,366688,3,T
435776,435871,435750,4,T
299909,299600,299827,3,T
787888,787941,787918,7,T
516345,516418,516410,5,T
82877,82942,82892,1,T
336664,336600,336752,3,F
19577,19595,19565,1,T
936597,936370,936510,8,T
644284,644500,644286,6,T
160997,161004,160911,2,F
326557,326487,326665,3,F
179152,179215,179145,2,T
956255,956186,956217,8,T
131318,131384,131349,2,T
949138,949022,949108,8,T
150621,150708,150601,2,T
833667,833624,833671,7,T
77655,77738,77676,1,T
476508,476668,476549,4,T
288352,288004,288242,3,T
995879,995953,995917,8,T
423775,423921,423843,4,T
253514,253391,253467,2,T
50586,50666,50561,1,T
642603,642847,642630,6,T
235791,235722,235786,2,T
440257,440370,440238,4,T
285561,285169,285409,3,T
864936,864956,865006,7,F
661677,661898,661724,6,T
172497,172525,172443,2,F
818338,818250,818280,7,T
966779,966861,966798,8,T
964053,964076,964026,8,F
609701,609878,609671,5,T
865509,865512,865561,7,F
677070,677157,677026,6,T
469711,469835,469702,4,T
589174,589370,589251,5,T
632909,633197,632825,5,T
825707,825675,825714,7,T
461946,462094,461951,4,T
708495,708586,708549,6,T
354204,354077,354176,3,T
467733,467868,467732,4,T
760342,760319,760396,6,F
232368,232322,232383,2,T
706511,706625,706582,6,T
129020,129093,129071,2,T
744439,744442,744495,6,F
527326,527301,527280,5,F
865905,865927,865976,7,F
462382,462540,462397,4,T
745074,745074,745128,6,F
